State,Price(c/kWh),Generation(MWh),CO2(kt),CO2_factor(kgCO2/$)_territorial,kgCO2_per_MWh,lbCO2_per_Mwh,CO2_factor(kgCO2/$)
AK,20.22,142679433,50842,1.76,356.34,969.66,2.18
AL,9.83,6070843,50842,85.2,8374.78,781.91,3.61
AR,8.22,64442898,32514,6.14,504.54,1121.45,6.19
AZ,10.52,113551987,43562,3.65,383.63,869.18,3.75
CA,16.89,201784204,40874,1.2,202.56,385.59,1.04
CO,10.17,56337734,33912,5.92,601.94,1322.75,5.9
CT,18.66,40050038,9517,1.27,237.63,474.38,1.15
DC,12.27,17408,110,51.5,6318.93,796.57,2.94
DE,10.52,5258538,265,0.48,50.39,709.97,3.06
FL,10.44,245603485,98945,3.86,402.86,873.66,3.8
GA,9.86,128691569,51074,4.03,396.87,876.21,4.03
HI,28.72,9749998,7337,2.62,752.51,1550.54,2.45
IA,9.08,61673544,28989,5.18,470.04,855.49,4.27
ID,7.89,18407812,2293,1.58,124.57,210.85,1.21
IL,9.56,184470052,63036,3.57,341.71,720.99,3.42
IN,9.91,102505381,77844,7.66,759.41,1623.64,7.43
KS,10.26,50887992,20884,4,410.39,887.18,3.92
KY,8.61,71804254,58805,9.51,818.96,1767.68,9.31
LA,7.71,100174762,48116,6.23,480.32,823.64,4.85
MA,18.4,21515636,8519,2.15,395.94,773.1,1.91
MD,11.24,39328689,13109,2.97,333.32,734.63,2.96
ME,14.04,10490562,1823,1.24,173.78,205.23,0.66
MI,11.56,116701343,57232,4.24,490.41,1006.84,3.95
MN,10.33,59379390,25291,4.12,425.92,874.77,3.84
MO,9.68,78278751,57516,7.59,734.76,1586.82,7.44
MS,9.28,65958760,25018,4.09,379.3,835.15,4.08
MT,9.02,27797079,16348,6.52,588.12,1253.32,6.3
NC,9.45,131173861,47372,3.82,361.14,775.01,3.72
ND,8.85,41147324,28668,7.87,696.72,1436.45,7.36
NE,9.08,37297615,2366,0.7,63.44,1255.48,6.27
NH,17.15,18026595,1952,0.63,108.28,251.05,0.66
NJ,13.42,71018774,18869,1.98,265.69,543.14,1.84
NM,8.99,35174510,20386,6.45,579.57,1319.37,6.66
NV,8.78,39889660,13921,3.97,348.99,737.45,3.81
NY,14.34,131603289,24807,1.31,188.5,376.72,1.19
OH,9.58,120001126,68113,5.92,567.6,1235.41,5.85
OK,7.86,85216501,28239,4.22,331.38,731.95,4.22
OR,8.81,62258378,11029,2.01,177.15,396.59,2.04
PA,9.81,228995331,77357,3.44,337.81,754.92,3.49
RI,18.49,7624403,2996,2.13,392.95,851.41,2.09
SC,10.02,100107504,2511,0.25,25.08,535.12,2.42
SD,9.96,14506647,3289,2.28,226.72,0.49,0
TN,9.69,82327108,27328,3.43,331.94,700.31,3.28
TX,8.6,483201031,217556,5.24,450.24,909.54,4.8
UT,8.24,39117033,28316,8.78,723.88,1590.64,8.76
VA,9.52,96827639,29965,3.25,309.47,633.19,3.02
VT,15.36,2289798,7,0.02,3.06,40.86,0.12
WA,8.04,106463608,14628,1.71,137.4,297.25,1.68
WI,10.66,62774299,35179,5.26,560.4,1225.38,5.21
WV,8.49,63925639,56823,10.47,888.89,1929.88,10.31
WY,8.1,42145656,39199,11.48,930.08,2053.96,11.5
All,10.54,4126882144,1724396,3.96,417.84,884.23,3.81
